model,train_acc,test_acc,train_test_gap,cv_mean_f1,cv_std_f1,cv_test_gap,precision,recall,f1,roc_auc,pr_auc,ks,brier,threshold
LightGBM,1.0,0.992,0.008,0.924,0.0264,0.0501,0.9691,0.9792,0.9741,0.9991,0.9918,0.9818,0.0074,0.924
GradientBoosting,1.0,0.989,0.011,0.9165,0.0245,0.0479,0.9406,0.9896,0.9645,0.9995,0.9957,0.9829,0.0074,0.6053
XGBoost,1.0,0.985,0.015,0.9157,0.021,0.0431,0.949,0.9688,0.9588,0.9991,0.9926,0.9807,0.012,0.8761
RandomForest,1.0,0.986,0.014,0.9083,0.0185,0.0446,0.9579,0.9479,0.9529,0.9987,0.9885,0.9718,0.0111,0.68
ExtraTrees,1.0,0.988,0.012,0.907,0.026,0.0393,0.9778,0.9167,0.9462,0.9987,0.9889,0.9752,0.0101,0.69
KNN,1.0,0.977,0.023,0.8344,0.0298,0.084,0.9,0.9375,0.9184,0.9685,0.8787,0.928,0.0183,0.6479
AdaBoost,0.9649,0.9609,0.004,0.7791,0.0376,0.1252,0.9239,0.8854,0.9043,0.9916,0.9545,0.9269,0.217,0.5027
NeuralNet,0.9665,0.9489,0.0176,0.8211,0.0315,0.0784,0.914,0.8854,0.8995,0.9928,0.9531,0.9308,0.0368,0.8634
DecisionTree,1.0,0.977,0.023,0.8782,0.0397,0.005,0.8614,0.9062,0.8832,0.9454,0.7896,0.8907,0.023,1.0
LogisticRegression,0.8925,0.8737,0.0188,0.6242,0.0278,0.1367,0.7955,0.7292,0.7609,0.9669,0.8329,0.7763,0.0828,0.9052
SGD,0.9123,0.8898,0.0225,0.624,0.0521,0.126,0.7212,0.7812,0.75,0.9647,0.8225,0.7801,0.07,0.8092
GaussianNB,0.8656,0.8467,0.0189,0.5585,0.0232,0.0222,0.6,0.5625,0.5806,0.9334,0.6729,0.743,0.139,0.9998
BernoulliNB,0.8627,0.8427,0.0201,0.4767,0.0506,0.0354,0.3351,0.6458,0.4413,0.759,0.2646,0.5095,0.1556,0.856
